% Distances between instruments for pitch 22 (A#0)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
13,'Contrabassoon',1,0.0,0.042512127389395464,0.04417243604782673,0.04248079758653934,0.03896020509532011,0.051798788666391225,0.04472793946119949,0.030166941031642778,0.0246052992714529,0.01972943563862325,0.030635213402041655
36,'Piano',6,0.042512127389395464,0.0,0.028103337369013395,0.020498572906627637,0.02749873154359887,0.009286661276995761,0.002215812071804029,0.03167770404628049,0.06545790238907936,0.030218759971209125,0.03062345820403013
36,'Piano',7,0.04417243604782673,0.028103337369013395,0.0,0.007906713270426918,0.005212230952506625,0.018816676092017634,0.026001972355722477,0.014005495016183955,0.06711821104751063,0.02444300040920348,0.032283766862461406
36,'Piano',8,0.04248079758653934,0.020498572906627637,0.007906713270426918,0.0,0.00730064338668707,0.011307742947194844,0.018542854828868652,0.012313856554896559,0.06551370623552495,0.022949184607047368,0.03082497817354962
36,'Piano',9,0.03896020509532011,0.02749873154359887,0.005212230952506625,0.00730064338668707,0.0,0.018307901584166075,0.02554301346583988,0.00879326406367733,0.06190598009500401,0.019230769456696856,0.027071535909954775
36,'Piano',10,0.051798788666391225,0.009286661276995761,0.018816676092017634,0.011307742947194844,0.018307901584166075,0.0,0.007235111881673808,0.022486874086847696,0.07474456366607513,0.03206935302776797,0.03991011948102589
36,'Piano',11,0.04472793946119949,0.002215812071804029,0.026001972355722477,0.018542854828868652,0.02554301346583988,0.007235111881673808,0.0,0.029721985968521505,0.0676737144608834,0.028263041893450136,0.03283927027583416
45,'Trombone',4,0.030166941031642778,0.03167770404628049,0.014005495016183955,0.012313856554896559,0.00879326406367733,0.022486874086847696,0.029721985968521505,0.0,0.054465475578670285,0.011900953950192696,0.022121901222399275
47,'Tuba',1,0.0246052992714529,0.06545790238907936,0.06711821104751063,0.06551370623552495,0.06190598009500401,0.07474456366607513,0.0676737144608834,0.054465475578670285,0.0,0.042675210638307155,0.05029210635197053
47,'Tuba',2,0.01972943563862325,0.030218759971209125,0.02444300040920348,0.022949184607047368,0.019230769456696856,0.03206935302776797,0.028263041893450136,0.011900953950192696,0.042675210638307155,0.0,0.020662957147327913
47,'Tuba',3,0.030635213402041655,0.03062345820403013,0.032283766862461406,0.03082497817354962,0.027071535909954775,0.03991011948102589,0.03283927027583416,0.022121901222399275,0.05029210635197053,0.020662957147327913,0.0
