% Distances between instruments for pitch 26 (D1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
6,'Bass',1,0.0,0.017695658409996946,0.03671011777486357,0.17494188612410536,0.09092415206205301,0.08880057884398547,0.08830341389669648,0.0867841066847209,0.027106485882383208,0.08582842033960048,0.0773462690337193,0.05439142000212097,0.08888272072487753,0.042557782599527576,0.05315132994538289,0.05509215441260093,0.08901266619695047,0.11525754709248459,0.04989036122478218,0.06876739066630937,0.06472495429456934,0.04860541132135868,0.05859206860867716,0.05798311089909563,0.05068314265822707,0.04391969117750197,0.06977696627979542,0.07873494237074945,0.0683475327535742,0.07200204842402608,0.04644205414333644,0.036830106597520305,0.03205761499126401,0.03727055629496449
6,'Bass',2,0.017695658409996946,0.0,0.053049610877885116,0.15724622771410843,0.1070995042804332,0.10497593106236568,0.10447876611507667,0.1029594589031011,0.04369173298203349,0.10200377255798065,0.09352162125209951,0.07056677222050117,0.10505807294325774,0.05873313481790777,0.06932668216376307,0.07126750663098112,0.07131700778695353,0.09756188868248765,0.06606571344316237,0.08494274288468957,0.08090030651294954,0.06478076353973887,0.07476742082705735,0.07415846311747583,0.06770407071278832,0.06094061923206321,0.08595231849817563,0.09491029458912964,0.08452288497195441,0.08817740064240627,0.06261740636171664,0.0530054588159005,0.048232967209644206,0.053445908513344687
13,'Contrabassoon',1,0.03671011777486357,0.053049610877885116,0.0,0.19808170575020664,0.05421403428718943,0.05209046106912191,0.05159329612183291,0.050073988909857335,0.039063154085267,0.0491183025647369,0.04063615125885573,0.029209513301951748,0.05217260295001397,0.05904031325540222,0.016441212170519318,0.01939963281284714,0.11215248582305176,0.13839736671858585,0.013180243449918605,0.0320572728914458,0.028014836519705776,0.011895293546495109,0.021881950833813585,0.02127299312423206,0.027032733561331446,0.020269282080606348,0.033066848504931856,0.04202482459588588,0.031637414978710636,0.03529193064916251,0.009731936368472876,0.015702140459221702,0.012026145414325326,0.0350962701080873
21,'ElectricBass',1,0.17494188612410536,0.15724622771410843,0.19808170575020664,0.0,0.2079170997625164,0.20578335142351892,0.2053343083468243,0.20586927130054325,0.15926430566156838,0.2068249576456637,0.2153071089515449,0.17137419258165443,0.20592684594970564,0.15954055517906104,0.1961812030626168,0.21672344248087252,0.08601471599432477,0.05977400605727439,0.20496193417482675,0.19253847927248113,0.19489536661779372,0.204885788612842,0.21805229222615372,0.21393968909434727,0.22454115290396814,0.21766795073332842,0.22291007377264963,0.21397058646024744,0.18533030533310765,0.18898482100355954,0.20511872492620334,0.18238082059925378,0.186060227400635,0.16298543564211934
21,'ElectricBass',2,0.09092415206205301,0.1070995042804332,0.05421403428718943,0.2079170997625164,0.0,0.002150562346258218,0.002620738165356533,0.004140045377332102,0.06381766617966979,0.005095731722452537,0.0135778830283337,0.036619542269195594,0.002041431337175469,0.06268783342840677,0.037836024999272806,0.03585230460629141,0.13389027675858908,0.15796468033479003,0.04103379083727083,0.022211932084931163,0.02629519757384406,0.042318740740694326,0.03233208345337585,0.03300900035026935,0.04874796992360154,0.04785540015084536,0.021191022970368414,0.012251535657966212,0.025222961937817437,0.019225616482485657,0.044482097918716566,0.05410547589373151,0.05888137925647263,0.05365635747199035
21,'ElectricBass',3,0.08880057884398547,0.10497593106236568,0.05209046106912191,0.20578335142351892,0.002150562346258218,0.0,0.0004971649472890043,0.0020164721592645734,0.06169409296160227,0.002972158504385008,0.011454309810266171,0.034980606693023816,0.0001603085334474528,0.06481140664647429,0.03568546265301459,0.033708424431384554,0.13173971441233087,0.15581411798853181,0.038910217619203304,0.020061369738672948,0.02414463522758584,0.0401951675226268,0.030208510235308322,0.030858438004011137,0.04662439670553401,0.04573182693277783,0.0190404606241102,0.010100973311707994,0.027346535155884966,0.021349189700553186,0.042358524700649026,0.05197047224646517,0.05674296385272146,0.05153002254902098
21,'ElectricBass',4,0.08830341389669648,0.10447876611507667,0.05159329612183291,0.2053343083468243,0.002620738165356533,0.0004971649472890043,0.0,0.001554515685519994,0.061196928014313264,0.0024749935570960034,0.01095714486297717,0.03547777164031282,0.0005925376028813402,0.0653085715937633,0.0352532335835807,0.0332695131905993,0.13130748534289696,0.1553818889190979,0.03841977740086804,0.01962914066923906,0.023712406158151955,0.039698002575337794,0.029715733739862995,0.030426208934577245,0.04612723175824501,0.04523466198548883,0.01860823155467631,0.009668744242274107,0.02784370010317397,0.02184635464784219,0.04186135975336003,0.0515226844780394,0.05629858784078053,0.05107356605629824
21,'ElectricBass',5,0.0867841066847209,0.1029594589031011,0.050073988909857335,0.20586927130054325,0.004140045377332102,0.0020164721592645734,0.001554515685519994,0.0,0.05967762080233769,0.0009556863451204346,0.009437837651001599,0.03699707885228839,0.002147053288401334,0.06682787880573886,0.033698717898060705,0.031714997505079306,0.12975296965737698,0.1538273732335779,0.03689374545993873,0.018074624983719065,0.022157890472631957,0.03817869536336222,0.028192038076043747,0.02887169324905725,0.04460792454626944,0.043715354773513265,0.017053715869156317,0.008114228556754113,0.029363007315149542,0.023365661859817758,0.04034205254138446,0.04996816879251941,0.05474407215526054,0.04951905037077825
21,'ElectricBass',6,0.027106485882383208,0.04369173298203349,0.039063154085267,0.15926430566156838,0.06381766617966979,0.06169409296160227,0.061196928014313264,0.05967762080233769,0.0,0.05872193445721726,0.05693701947747185,0.02728493411973777,0.06177623484249433,0.020222913166763962,0.03792054747985844,0.058462786898114134,0.07333508573441348,0.09957996662994757,0.04665988145042773,0.04166090478392616,0.037618468412186135,0.04649757402419007,0.059747903224644607,0.0556790335115889,0.06609588764659845,0.05933243616587334,0.06464941818989124,0.055709930877489044,0.04124104687119099,0.04489556254164286,0.0463515704478801,0.024120165016495398,0.0277995718178766,0.01016407041258128
21,'ElectricBass',7,0.08582842033960048,0.10200377255798065,0.0491183025647369,0.2068249576456637,0.005095731722452537,0.002972158504385008,0.0024749935570960034,0.0009556863451204346,0.05872193445721726,0.0,0.008535130854880188,0.037952765197408825,0.003054300385277067,0.0677835651508593,0.03289253159620397,0.03090881120322257,0.12894678335552026,0.15302118693172118,0.03605907541349131,0.017268438681862328,0.021351704170775216,0.037257863452661896,0.02735503175248626,0.028065506947200516,0.043652238201149,0.04284722288400977,0.01624752956729958,0.007308042254897374,0.030318693660269975,0.024321348204938194,0.03938636619626402,0.04916198249066267,0.05393788585340379,0.04871286406892151
