% Distances between instruments for pitch 32 (G#1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 40 (ScaleChangerHarmonium), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 44 (Tanbur), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
6,'Bass',1,0.0,0.015259503802038494,0.02107963429795151,0.06174580030431884,0.10508743162686163,0.10458650986044243,0.10548523055553465,0.10540919224489957,0.10328987956382985,0.047332849109413024,0.104403475534435,0.09514540163862811,0.07362709260303207,0.10309632947973928,0.10616473834276195,0.07343500566961898,0.07394133782362236,0.05630759224110265,0.07789846176946617,0.10038715771275492,0.04848486619979503,0.06271065320857569,0.08273775037563114,0.0783734459831726,0.06659695055588459,0.08941544795882835,0.08643979969037242,0.0697195498702276,0.06358097321989939,0.09430041626426872,0.09179076284608667,0.05390204545845143,0.046720681760161885,0.062092561167177235,0.08013528844378472,0.06572593217729576,0.011128738927930933,0.05036561119326771,0.05864262283477392
6,'Bass',2,0.015259503802038494,0.0,0.030888698508141656,0.061658709027245094,0.10495246279063312,0.10445154102421393,0.10535026171930613,0.10527422340867106,0.10315491072760134,0.032073345307374525,0.10426850669820649,0.09501043280239961,0.07349212376680356,0.10296136064351076,0.10602976950653344,0.07330003683339048,0.07380636898739386,0.05617262340487414,0.08342924090805261,0.08512765391071642,0.03322536239775653,0.06552208229876574,0.08260278153940263,0.07823847714694411,0.06697296167473055,0.08928047912259984,0.08630483085414394,0.08023289326695256,0.06802205230242893,0.09416544742804021,0.09165579400985817,0.053814954181377696,0.046585712923933376,0.06195759233094874,0.08000031960755621,0.06559096334106726,0.010617786722520757,0.05735054057773698,0.04338311903273543
7,'Bassoon',2,0.02107963429795151,0.030888698508141656,0.0,0.04112121248653724,0.08454172451181141,0.0840408027453922,0.08493952344048443,0.08486348512984936,0.08274417244877962,0.06296204381551618,0.08385776841938476,0.07459969452357788,0.05308138548798184,0.08255062236468906,0.08561903122771171,0.05288929855456876,0.05339563070857214,0.03576188512605242,0.05735275465441595,0.11601635241885809,0.06411406090589818,0.042164946093525474,0.0621920432605809,0.057827738868122376,0.04605124344083436,0.06886974084377813,0.06589409257532221,0.04992599950086694,0.04303526610484917,0.07375470914921849,0.07124505573103644,0.033259649208803636,0.026174974645111652,0.04154685405212701,0.05958958132873449,0.04518022506224553,0.026757933634034097,0.029819904078217486,0.07427181754087708
13,'Contrabassoon',1,0.06174580030431884,0.061658709027245094,0.04112121248653724,0.0,0.043420512025274166,0.04291959025885497,0.04381831095394719,0.043742272643312104,0.04162295996224238,0.08056516953178358,0.04273655593284753,0.033478482037040645,0.022861911067650103,0.041429409878151816,0.044497818741174484,0.028375639523660772,0.012577846992308796,0.005697751529049681,0.0350641749455297,0.13361947813512548,0.08171718662216558,0.017157016336242812,0.02107083077404367,0.016706526381585148,0.018607895712207626,0.033676191203805265,0.036787490611944036,0.03186782730442963,0.019656986339906007,0.03263349666268125,0.03012384324449921,0.04249036260706892,0.04017049855144155,0.04152237483920034,0.018468368842197252,0.011754516914966345,0.05149309223150506,0.011940648772212197,0.09187494325714447
21,'ElectricBass',1,0.10508743162686163,0.10495246279063312,0.08454172451181141,0.043420512025274166,0.0,0.004916822647324908,0.000397798928673016,0.00038400874601981653,0.001797552063031788,0.11068433442679487,0.0006839560924266408,0.009950872785510162,0.040249615746279714,0.0019911021471223536,0.0011130610393142108,0.04576334420229039,0.03124154197203187,0.04877983938575899,0.027258290845695105,0.16139408484243312,0.10708016595877735,0.04237677841828594,0.022439460680539664,0.02683344441151315,0.03849048107097705,0.015671983668033285,0.018719053944281337,0.03536788175663402,0.04154909132770009,0.01086188190765614,0.0133947608602404,0.06055879927473162,0.058366749866699756,0.05891007951782996,0.03235654224352456,0.03936149944956587,0.09433467606811237,0.054721820433593915,0.1241362028100227
21,'ElectricBass',2,0.10458650986044243,0.10445154102421393,0.0840408027453922,0.04291959025885497,0.004916822647324908,0.0,0.004568409737840772,0.00458732756072018,0.006706640241789903,0.11018341266037568,0.005593044271184756,0.014867695432835068,0.0353405275675216,0.006900190325880468,0.0038317814628577966,0.04085425602353227,0.030748354674179468,0.048278917619339785,0.026765103547842704,0.16090089754458073,0.10658697866092494,0.04187585665186674,0.021946273382687263,0.02634025711366075,0.03798955930455785,0.020581071846791397,0.02363587659160624,0.03486695999021482,0.04105590402984769,0.010368694609803735,0.012901573562387997,0.05564197662740671,0.05786582810028055,0.054000991339071845,0.02744745406476645,0.03886057768314668,0.09383375430169316,0.05422089866717472,0.12363528104360351
21,'ElectricBass',3,0.10548523055553465,0.10535026171930613,0.08493952344048443,0.04381831095394719,0.000397798928673016,0.004568409737840772,0.0,7.603831063508133e-05,0.002195350991704804,0.11108213335546789,0.0010817550210996567,0.010339828916906534,0.039851816817606696,0.0023889010757953692,0.0007646481298300753,0.045372561970013776,0.031589954881516,0.049177638314432004,0.027606703755179245,0.16174249775191726,0.10742857886826147,0.04277457734695895,0.022787873590023804,0.027181857320997288,0.03888827999965006,0.0160697825967063,0.01906746685376547,0.03576568068530704,0.04190425733563526,0.011210294817140273,0.013743173769724537,0.06021038636524748,0.05876454879537277,0.05851228058915694,0.03195874331485154,0.03975929837823889,0.09473247499678539,0.05511961936226694,0.12453400173869572
21,'ElectricBass',4,0.10540919224489957,0.10527422340867106,0.08486348512984936,0.043742272643312104,0.00038400874601981653,0.00458732756072018,7.603831063508133e-05,0.0,0.0021261626503159543,0.11100609504483279,0.0010057167104645754,0.010334881531529977,0.03992785512824178,0.002312862765160288,0.0007555460978623829,0.04544158358425245,0.03162555071805168,0.04910160000379692,0.027642299591714926,0.16177809358845294,0.10746417470479717,0.0427154689225572,0.022823469426559485,0.027217453157532972,0.03882182938507705,0.01599374428607122,0.01910306269030115,0.03568964237467196,0.04193310007371991,0.011245890653675955,0.013778769606260217,0.0601747905287118,0.05868851048473769,0.05858831889979202,0.032034781625486626,0.03968326006760381,0.09465643668615031,0.0550644375544731,0.12447568885023132
21,'ElectricBass',5,0.10328987956382985,0.10315491072760134,0.08274417244877962,0.04162295996224238,0.001797552063031788,0.006706640241789903,0.002195350991704804,0.0021261626503159543,0.0,0.10888678236376308,0.0012120724268112335,0.008208718881214024,0.0420471678093115,0.00019355008409056547,0.0028748587789321055,0.04756089626532217,0.02949938806773573,0.0469822873227272,0.02551613694139897,0.15965193093813698,0.10533801205448122,0.04058930627224124,0.02069730677624353,0.025091290507217017,0.036695666734761094,0.013874431605001495,0.016976900039985195,0.033570329693602234,0.03980693742340396,0.00911972800336,0.011652606955944264,0.06230095317902776,0.0594383827918701,0.06070763158086174,0.034154094306556346,0.03756394738653409,0.09253712400508059,0.052938274904157145,0.12234952619991536
21,'ElectricBass',6,0.047332849109413024,0.032073345307374525,0.06296204381551618,0.08056516953178358,0.11068433442679487,0.11018341266037568,0.11108213335546789,0.11100609504483279,0.10888678236376308,0.0,0.11000037833436822,0.10837106420198848,0.07922399540296529,0.10869323227967252,0.11176164114269517,0.07903190846955223,0.09292960174112441,0.08291898670743242,0.11541592969434532,0.0530543086033419,0.003727640981200117,0.09750877108505844,0.08833465317556437,0.09075525665841122,0.09895965046102323,0.11402794595262089,0.11713924536075965,0.11221958205324524,0.10000874108872164,0.09989731906420195,0.0973876656460199,0.059633482338621265,0.05231758456009511,0.06768946396711047,0.08573219124371795,0.0921765892931638,0.03656962358718099,0.08933722936402967,0.013874662883481749
