% Distances between instruments for pitch 77 (F5)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 2 (Balalaika), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 4 (BanjoFramus), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 5 (Banjolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 8 (Bawu), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 9 (Bouzouki), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 16 (Dilruba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 17 (Domra), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 19 (DungDkarTrumpet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 24 (Erhu), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 30 (Melodica), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 31 (MorinKhuurViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 33 (Oud), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 41 (Shakuhachi), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 42 (Sitar), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 49 (Ukulele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 52 (Flugelhorn), style 1' NUMERIC

@DATA
2,'Balalaika',1,0.0,0.11133401841264916,0.04413210195839928,0.01544192241272256,0.05966279587053841,0.07106021400404722,0.06507110884639959,0.06463715222877497,0.0495145656967498,0.07928937048752259,0.1090573177110407,0.06442680294715251,0.09312166771013707,0.039659843711442676,0.1056632569443503,0.10062221761519784,0.03487558779773144,0.05786480330251718,0.008870395959246057,0.04479026508879696,0.038638601154352636,0.052227680842468725,0.017519363135693262,0.04116236820937282,0.06467724932909912,0.02431441930452018,0.06309692622023874,0.08620934989362389,0.08830142877035778,0.06628072196970634,0.06521765291626533,0.055424959736500946,0.0860571103557665,0.06878771738382287,0.06075792393775851,0.07321333950448958,0.08890700553032475,0.05848018411084757,0.03118272168565869,0.05298495790184652,0.03509395275631154,0.03913252315119562,0.08006864131417392,0.06763680699293455,0.03972523423038627,0.06292692668536262,0.06373972769553037,0.08658272702391316,0.05162999846954682,0.04275835280474818,0.0685573360022053,0.08027315671106432,0.07904049960106259,0.14504633218237006,0.07407074963145359,0.16571656021955686,0.06004646334921309,0.012280105639754976,0.03672497958019277,0.1066827057052112,0.0274391261049422,0.01816643085915016,0.07171721810100955,0.07462255753309209,0.06294874646463919,0.07508299769932397,0.04832573924168359,0.043732742278511816,0.035820880774110046,0.056368224569172454,0.10217314580874011,0.10636572102817553,0.07542111459521551,0.09262803851899265,0.09377395381618293,0.06095901450847102,0.03534837616154302,0.046883420107088146,0.08858098157079768,0.055084829502214966,0.014231087170522516,0.08641157788071228,0.09733375872585859,0.07945039225548285,0.06813366234493691,0.09540819714439201,0.06618755399500617,0.07945044664364666,0.034115102809142185,0.032498039565339594,0.05999577702811088,0.08087707739687444,0.09993959236588999,0.03181655743113637,0.13766675900105693,0.05348377138662308,0.10515330034157949,0.03408510739905534,0.03959824207782548,0.04380531142783469,0.07045430629465288
3,'Bandura',1,0.11133401841264916,0.0,0.15546612037104843,0.09589937077851596,0.052941439245221045,0.04044410769385576,0.04626290956624956,0.04674675879189236,0.06188138153718179,0.03207122472523582,0.0036781795689559706,0.04690721546549662,0.0456352551057698,0.07431182731637023,0.007079772574725455,0.012620257432538343,0.10156635842239792,0.05365834546421073,0.10252161288248328,0.06656556258264851,0.07270370231680519,0.0591640355971384,0.09387436427581923,0.07021235900296856,0.046696945398394106,0.08703881553866781,0.04873192580568327,0.05915998133007053,0.06070870628137457,0.056831787421627304,0.046183436604713274,0.055909058676148204,0.045544921830737696,0.044889138197974805,0.05070617993213158,0.038244929837812726,0.024253268040058725,0.05647206716337993,0.08040014032657049,0.07051389888159053,0.07628443345785398,0.07234698562393624,0.04260097571001827,0.04418506712552466,0.15101567748265518,0.04868440964915199,0.04783551906801196,0.024786880422605507,0.06265286570785276,0.06972657434069826,0.0481879919234613,0.09784567285118856,0.09656944058080659,0.06340704853780478,0.09159969061119759,0.054382541806907735,0.07761897948933733,0.09910474733595759,0.07460903883245638,0.012757477029719376,0.08395336161882934,0.09320687328081301,0.04037149982106059,0.03757445331470711,0.04844021831544476,0.03667002595967033,0.06331298855375356,0.06760127613413734,0.1100862847337863,0.05731680174648157,0.040094526693994555,0.05973152467773624,0.06372627691806922,0.018705979893656504,0.06486072752404935,0.1285242272566205,0.08661284328038388,0.06450666174862564,0.022816561033784405,0.05701919411768922,0.12552153042279143,0.02550399113732688,0.015486982340479606,0.03918852884169049,0.04326519953249241,0.01726517323401682,0.04519283524573205,0.03193492364289362,0.07835134077504012,0.07891101455755577,0.051380136784122434,0.037098446455772885,0.029729977834359173,0.07961070643797297,0.08397649217216017,0.058576116002560207,0.033078701174005846,0.07828571848075817,0.07355689334750089,0.11599070362777612,0.04092435616825385
4,'BanjoFramus',1,0.04413210195839928,0.15546612037104843,0.0,0.05957402437112183,0.1037892764297053,0.1151866945632141,0.10920321080479888,0.10876925418717426,0.09364666765514908,0.12342147244592187,0.15318941966943997,0.1085589049055518,0.13725376966853634,0.08378632427060956,0.1497897375035172,0.14474869817436473,0.05400995807895487,0.10199128386168409,0.05299687651841295,0.08891674564796385,0.0827707031127519,0.09635978280086799,0.061651465094092535,0.0852944701677721,0.1088093512874984,0.06844652126291946,0.10722340677940563,0.13034145185202317,0.13243353072875705,0.11041282392810563,0.1093497548746646,0.09955706169490024,0.13018921231416578,0.11291419794298978,0.10488440449692539,0.1173398200636565,0.13303910748872402,0.10260666467001446,0.07530920224482558,0.09711705986024578,0.07922043331547844,0.0832590037103625,0.1242007432725732,0.11176328755210145,0.004462196532649969,0.10705340724452951,0.10786620825469728,0.13071482898231243,0.0957564790287137,0.08688483336391506,0.11268381656137222,0.12439963727023119,0.12317260155946186,0.18917843414076932,0.11820285158985287,0.20984866217795614,0.10417294390837996,0.05641220759815425,0.08085708153859204,0.15081480766361047,0.07157122806334147,0.062298532817549435,0.11584369866017642,0.11874903809225897,0.10708084842303846,0.11920947825849088,0.09245221980085049,0.08786484423691109,0.04542417228502379,0.10049470512833936,0.1463052477671394,0.1504978229865748,0.11955321655361478,0.1367601404773919,0.13790043437534982,0.026971752960077908,0.06891846199120495,0.09101552206548742,0.13271308352919697,0.09921131006138185,0.02996611202940294,0.13053805843987917,0.14146586068425784,0.12358249421388214,0.1122657643033362,0.13954029910279128,0.11031965595340544,0.12358254860204594,0.07824158336830908,0.07662452012450649,0.10412787898651017,0.12500917935527373,0.14407169432428926,0.07594303799030326,0.18179886095945622,0.09761025194578997,0.14928540229997878,0.07821158795822222,0.08372472263699238,0.03947541674327231,0.11458640825305216
5,'Banjolin',1,0.01544192241272256,0.09589937077851596,0.05957402437112183,0.0,0.04427172339678546,0.055669141530294265,0.049643380079169984,0.04919522981605242,0.03407264328402724,0.06384744807480003,0.09361539529831812,0.04901397350453496,0.0776797452974145,0.024268771237689724,0.09027218447059736,0.08523114514144488,0.050317510210454,0.04247373082876424,0.00662951688255669,0.029399192615044006,0.023196678741630075,0.036785758429746164,0.0020774407229707014,0.025720445796650265,0.04923532691637655,0.00887249689179762,0.04770585374648579,0.07076742748090133,0.07286266962420036,0.05083879955698378,0.04977573050354276,0.040025928521622574,0.07061518794304394,0.05339664491006992,0.04536685146400556,0.057822267030736625,0.07346508311760218,0.04308911163709462,0.04188154726471988,0.03754303548912396,0.02753017433976902,0.030155069439302865,0.06462671890145137,0.05224573451918161,0.055116306704139216,0.047535854211609684,0.04834865522177742,0.07114080461119059,0.03623892599579387,0.027367280330995225,0.05316626352845236,0.06488208423731136,0.06359857718834001,0.12960440976964752,0.058628827218731035,0.15027463780683434,0.04465539087546014,0.0032053765574416282,0.021303401110531375,0.09124078329248864,0.011997203692219639,0.0027245084464276007,0.056326145627256595,0.05923148505933914,0.047506824051916634,0.059691925225571034,0.03343077999228136,0.028298190223455533,0.05121195324786299,0.040977152095419515,0.08673122339601756,0.09092379861545297,0.05997919218249296,0.07720397050123214,0.07838288134242999,0.07635008698222397,0.05073944863529597,0.031441497694365585,0.07313905915807511,0.039693757028462014,0.029622159644275465,0.07102050540695933,0.08189183631313603,0.0640084698427603,0.052691739932214356,0.07996627473166944,0.05074563158228362,0.06400852423092411,0.018724030335389243,0.03422715627379694,0.04455385461538833,0.06543515498415188,0.08449766995316743,0.02505219821411705,0.12222483658833438,0.03809269891287013,0.08971137792885693,0.01869403492530239,0.024207169604072532,0.059231062806813284,0.055012383881930325
8,'Bawu',1,0.05966279587053841,0.052941439245221045,0.1037892764297053,0.04427172339678546,0.0,0.02097088635181793,0.018717704049953775,0.029519245005901418,0.03052165928566321,0.02457248789465122,0.05066473854361258,0.03026200342994245,0.03472908854270896,0.023272385103328092,0.04715130915198784,0.04204465072499682,0.06615096553699601,0.030354503462041705,0.050792399911292356,0.032854318375353325,0.021076054935074695,0.04401637107272044,0.04224671689408873,0.018584711621238054,0.043534703290253406,0.03541116815693731,0.030299905402106087,0.02781677072619579,0.029908849602929666,0.009181867876192278,0.0158818846625515,0.011776263484413413,0.027664531188338403,0.010288054770673601,0.02566830312344046,0.025600150432796846,0.03051442636289663,0.0241450529598132,0.05758197652121861,0.022863979336155502,0.043435079394331416,0.04595885193289892,0.021676062146745816,0.011087192411391436,0.09938803010092467,0.01109136279782632,0.006797432456196666,0.04200532025977798,0.017740703998501865,0.035346020118198145,0.00954455859253062,0.050055179568927945,0.04891952103537157,0.08665375301494195,0.04394977106576257,0.10732398105212877,0.02988449583551984,0.04747709995422709,0.022968322286254086,0.061721188438644936,0.03232571423709884,0.0415792258990825,0.041152886677698605,0.020956139347678884,0.05488202634904052,0.02051509964485965,0.04907534346557213,0.03554477045340373,0.06721207604291136,0.013443498785744051,0.043780566641312,0.047973141860747415,0.01702853542778741,0.04728259148891711,0.0353739205903373,0.09235020977727232,0.06673957143034434,0.03624943479493592,0.03361247857541006,0.01007499023816314,0.07389388304106093,0.027922367446286345,0.038941179558430475,0.02105781308805475,0.01731646459027722,0.03701561797696389,0.05319869889655166,0.05813549008834903,0.02554769306139622,0.050101393419629485,0.009589673716179541,0.022484498229446332,0.04154701319846188,0.04090822561373562,0.13294020358108571,0.041901678676559646,0.08204241258293139,0.025577688471483073,0.03218982191794401,0.07519650669663601,0.030183998205354914
9,'Bouzouki',1,0.07106021400404722,0.04044410769385576,0.1151866945632141,0.055669141530294265,0.02097088635181793,0.0,0.006025761451124278,0.00854835865408349,0.021651152288960085,0.008399459768729196,0.03816740699224729,0.009291117078124517,0.022231756991343676,0.033867719622514475,0.034653977600622554,0.029562003611150623,0.061176736484259225,0.013214237770354978,0.06218981804480115,0.026269948915250255,0.032473473068583496,0.02304548472090251,0.053644135027597524,0.03091236257764325,0.022563816938435472,0.046808586290446104,0.0096535493783072,0.03138103471859695,0.03292975966990099,0.029052840810153722,0.005953207356491574,0.015643213008671688,0.017765975219264124,0.016959532980399827,0.0103022900662887,0.004629264080978915,0.018017094811531343,0.016027959469524174,0.03995603263271473,0.04273495227011695,0.03596626124773567,0.031927690852851597,0.014822029098544695,0.009883693940426494,0.11078544823443348,0.009879523553991612,0.014173453895621265,0.02103443390796005,0.022208758013997004,0.029282466646842507,0.020195166866353677,0.0699261525028894,0.06879049396933301,0.07415642146357666,0.06382074399972403,0.09482664950076349,0.04975546876948129,0.058874518087735896,0.03436574041976289,0.040750302086827006,0.04372313237060765,0.0529766440325913,0.020766396550047847,0.0035623435290448742,0.03391113999722259,0.00402278369527677,0.028238863211288375,0.02737095130683873,0.0698560554855646,0.016872694052625817,0.031283235089946716,0.03547581030938213,0.03594733030659566,0.02631170513709918,0.03703075169377801,0.08829399800839878,0.046382614032162185,0.024276432500403938,0.01769107085200428,0.01657508642383347,0.08529130117456973,0.015425035894921052,0.026443848007065188,0.011409582230216911,0.003933143671954944,0.024518286425598602,0.03222781254473373,0.0371646037365311,0.037907233081184356,0.038562174438707617,0.011636986480856612,0.009987166678081047,0.029049681647096592,0.03924365657291084,0.1119693172292678,0.021486358016022045,0.06107152623111347,0.03784161078690242,0.03311278565364512,0.07573307025291814,0.009213111853536982
10,'Cello',1,0.06507110884639959,0.04626290956624956,0.10920321080479888,0.049643380079169984,0.018717704049953775,0.006025761451124278,0.0,0.010801540955947644,0.015625390837835807,0.014218261641122993,0.04398620886464109,0.01155919870460072,0.028050558863737474,0.028048917750120677,0.040628804391427374,0.03558776506227491,0.05530344885614837,0.01186258605964336,0.05625870331623373,0.02030265301639895,0.026447711617459218,0.025298667022766664,0.04761837357647325,0.028452220697048617,0.024816999240299623,0.04078282483932183,0.012113691258901835,0.028920892838002314,0.03046961778930636,0.02659269892955909,0.0029098093626353043,0.009646149109898644,0.020986001509366914,0.014643130839003019,0.007117340824204285,0.008178886951566645,0.023835896683925144,0.010209157597130375,0.03914977236432153,0.04027481038952232,0.03002152389160442,0.027423294538904516,0.014997532467774325,0.007630511638562339,0.1047596867833092,0.007626341252127457,0.011920271593757109,0.023287616209824207,0.01638995614160321,0.02346366477444871,0.017941984564489522,0.06759966549221677,0.06633035208873839,0.07997522333597047,0.06136060211912939,0.10064545137315728,0.047372972130365544,0.052848756636611614,0.028346129266206832,0.043003484388691164,0.037697370919483365,0.04695088258146702,0.02322653843064248,0.009588104980169153,0.03616432229908675,0.010048545146401048,0.030699005091883006,0.021345189855714455,0.06383029403444034,0.01105389218023202,0.03710203696234051,0.04129461218177593,0.03348718842600102,0.028568548188432432,0.03461472016507757,0.0822682365572745,0.04802186738039057,0.018250671049279663,0.02350987272439808,0.010756284551439675,0.07926553972344545,0.021377125327789348,0.03226264987945899,0.01437928340908326,0.003062553498537325,0.030337088297992403,0.03448099484659789,0.03941778603839525,0.03208843120879056,0.032648104991306215,0.009176844600261977,0.015805968550474846,0.034868483519490394,0.03334779687172341,0.11422249953113195,0.02394649989661668,0.06332470853297763,0.03202280891450862,0.027293983781251332,0.06972779406152656,0.011466294155401138
10,'Cello',2,0.06463715222877497,0.04674675879189236,0.10876925418717426,0.04919522981605242,0.029519245005901418,0.00854835865408349,0.010801540955947644,0.0,0.015134622745289428,0.014675534066656545,0.04442016548226571,0.0008144692235748354,0.028484515481362094,0.027614961132496053,0.04111957248397375,0.036078533154821284,0.05486949223852375,0.0069614792803365565,0.0558247466986091,0.019868696398774328,0.036714790672563814,0.014497126066819022,0.04712760548392687,0.03920613398640045,0.014025174577526106,0.04032273292425479,0.0020350596218090904,0.0396656223190282,0.041260128366326206,0.03734831565894543,0.01365453884366119,0.017742981521488007,0.026050562819695377,0.025444671794950663,0.0040093137482574035,0.008669655044113026,0.024269853301549765,0.009775200979505754,0.03370327414269631,0.051019582714272683,0.029587567273979796,0.025650119440062066,0.023135693085162206,0.018432052594509984,0.10430705765452429,0.018427882208075102,0.02272181254970475,0.02195987836928685,0.015955999523978585,0.023029708156824088,0.028743525520437168,0.07840120644816441,0.07711116872843067,0.08043682990650243,0.07210533160015527,0.1010794079907819,0.05817451308631318,0.05235798854406523,0.03482252332138442,0.04206369678745497,0.03720660282693699,0.046470721369624816,0.012481808949616596,0.010078873072715532,0.0253627813431391,0.010539313238947428,0.019954275610857126,0.020904409950263162,0.06334508190215046,0.01715653742005195,0.03755329938718179,0.04173786293282669,0.04423191790702691,0.028051358514608524,0.04541626112102521,0.08179750122709635,0.03986608448849153,0.01775990295673328,0.0239438293420227,0.01944425476773828,0.0788031421577713,0.021867893420335727,0.032715853250041296,0.019694169830648162,0.012217731272386194,0.030771044915617024,0.023682975670579365,0.028616245082447606,0.03165447459116594,0.03221414837368159,0.01992957128972188,0.01760408744473056,0.03530244013711501,0.03291384025409879,0.1034209585751843,0.013201770415590793,0.05252316757702999,0.031588852296884,0.026860027163626708,0.06929383744390194,0.005822402623638511
10,'Cello',3,0.0495145656967498,0.06188138153718179,0.09364666765514908,0.03407264328402724,0.03052165928566321,0.021651152288960085,0.015625390837835807,0.015134622745289428,0.0,0.02981015681194597,0.059542752014290885,0.014995984263200783,0.04360710201338727,0.01249237460047088,0.05625419522926319,0.05121315590011072,0.03974690570649857,0.00845574158743006,0.04070216016658393,0.004746109866749149,0.03771720495232561,0.013498942581381698,0.031995202561056535,0.04020854826616225,0.015184436138787685,0.025200146392229616,0.013687864505151618,0.04065600038552574,0.042262542646087996,0.03835072993870723,0.015703087219515532,0.0187453958012498,0.03654254465901671,0.026447086074712457,0.011348862222671384,0.023804277789402455,0.03939243983357494,0.009071122395760444,0.027414664816798103,0.05202199699403448,0.01446498074195462,0.015688186991381085,0.03059518821687464,0.019434466874271777,0.08918447112249911,0.019430296487836896,0.02372422682946655,0.037094501114576274,0.01445958434880148,0.007907121624798908,0.02974593980019896,0.07940362072792621,0.07811358300819247,0.09557145265179184,0.07309570966665281,0.11620199452280709,0.05917692736607497,0.03723446005699482,0.03582493760114622,0.0571983195327444,0.026467545650301464,0.031348134837599635,0.022308156385922415,0.02521349581800496,0.02436734951722495,0.025673935984236857,0.01896389754435958,0.005781823418237987,0.04822249537012529,0.018158951699813745,0.05268792213247122,0.05687248567811612,0.04523059593622244,0.043185981259897956,0.04641867540078701,0.06667491469507117,0.036217912144681126,0.005733640887490507,0.039066415874047876,0.020446669047500077,0.06368055562574614,0.03700251616562515,0.04785047599533073,0.029947039474461905,0.018619096648187124,0.0458936314476422,0.02269259760408182,0.02994645789428817,0.01653188805914076,0.01976027382587516,0.020931985569483672,0.03136251170012464,0.05042502666914019,0.017791253722073613,0.10241854429542252,0.01221139234909325,0.055643020179097114,0.016466265764858823,0.011737440631601532,0.054171250911876766,0.020957025368927937
10,'Cello',4,0.07928937048752259,0.03207122472523582,0.12342147244592187,0.06384744807480003,0.02457248789465122,0.008399459768729196,0.014218261641122993,0.014675534066656545,0.02981015681194597,0.0,0.029767947223518092,0.01486256754037007,0.021217454791386217,0.04226717939124367,0.02644403841731721,0.021402999088164742,0.06952171049727136,0.02161369753908417,0.07047696495735672,0.034520914657521946,0.04065076933316995,0.027092810871902573,0.06180313955058341,0.03814113427773274,0.018962215395602177,0.05497495118300241,0.016687277880556708,0.034742181015686935,0.03631337125507601,0.03241398710724371,0.01411221187947746,0.023864410751021636,0.021127121516354107,0.02049791468370047,0.01866153200700502,0.006200281912686165,0.009617635042802148,0.024427419238253367,0.04835549240144393,0.04609609856720693,0.044239785532727414,0.04030233769880968,0.018188935973912013,0.01348529548325979,0.11895927591327189,0.01663976172402543,0.01777505543845456,0.017432832365126754,0.0306082177827262,0.0376819264155717,0.023796768409186972,0.07345444933691421,0.07216441161718047,0.06576129583984588,0.067181890296814,0.08642718973203428,0.05322775597506299,0.06703352261072178,0.04256439090732983,0.03714870054399371,0.05188213689359353,0.06113564855557718,0.01740525025295786,0.005529805389580546,0.030309538454389297,0.004625378034543774,0.031268340628627,0.03555662820901078,0.07801506000855049,0.025272153821355014,0.02288377532121752,0.03531372436335265,0.03930847660368564,0.02274726001074781,0.040469504009775024,0.09645300253138467,0.05454161855514807,0.03243543702338982,0.009291611083275085,0.024974546192562664,0.09345536041651892,0.007192359353679182,0.01804438823833599,0.014770728527306896,0.01119397480725659,0.016118826656869405,0.02862621100190044,0.033563002193697795,0.046306692849913546,0.04686636663242921,0.019308912058886612,0.012680646141389291,0.020650221878367396,0.047566058512846406,0.1083677156864345,0.02653146807743365,0.05746992468828018,0.04624107055563162,0.041512245422374326,0.08394605570264956,0.008853131443018032
