% Distances between instruments for pitch 81 (A5)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 4 (BanjoFramus), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 5 (Banjolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 9 (Bouzouki), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 17 (Domra), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 19 (DungDkarTrumpet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 24 (Erhu), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 30 (Melodica), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 31 (MorinKhuurViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 41 (Shakuhachi), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 49 (Ukulele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 52 (Flugelhorn), style 1' NUMERIC

@DATA
3,'Bandura',1,0.0,0.12606327797295844,0.07107762841841134,0.0305085177181407,0.00596687671391214,0.019822923191655212,0.08250455355892213,0.1025522906686384,0.06855450220777748,0.05024107981711378,0.026926939968133678,0.09445520613614487,0.0500229296372273,0.04938151072880021,0.07104697194192,0.039060786725433,0.04787270907796664,0.037508754059900264,0.05186822156217933,0.04370133713295571,0.005839720134536629,0.04061037593787011,0.03522110837207353,0.004842069841921267,0.022593671847594657,0.07556191483207507,0.054059821457226515,0.06139607307565062,0.06291111853542415,0.02634289886533113,0.03504038432073408,0.038202427715055644,0.0382601126188303,0.02647179860780467,0.046058383333729185,0.042402749728179645,0.0359503612123755,0.08197447573274519,0.08428837949472978,0.10547044104057712,0.08398496195185108,0.08403214821697465,0.07063301353688727,0.030427797532622175,0.05334667483339239,0.052908369296621106,0.0582670737340453,0.05910086690320016,0.020512340875263876,0.013184837491236496,0.04321800028615062,0.04961469349564776,0.04395331116601414,0.058157178176120594,0.04376882622268971,0.0482499454258525,0.03433934525053797,0.014124456742837877,0.035308766001982995,0.11758036576364134,0.03550299141850534,0.03150062963402921,0.02457477944417982,0.04142566059760378,0.09307465924788531,0.024049472334216903,0.0028471436640907523,0.028112722057889273,0.04568286193530482,0.03781416027611291,0.028855931174558758,0.03133157551726013,0.059447865666943815,0.0833368201438519,0.022239559256225037,0.01843082998231985,0.04501273974308944,0.025907908101696252,0.03924582273731072,0.037992997801247284,0.03504442467111659,0.05745924683245494,0.059845524549249164,0.0770894035934477,0.02678761942972781
4,'BanjoFramus',1,0.12606327797295844,0.0,0.05504017586833626,0.09555476025481772,0.12009640125904629,0.12066839865973313,0.043566443944566415,0.023530495106454746,0.057524694258147914,0.07592258431181609,0.12058038645056955,0.031763719146728334,0.07617746610376255,0.07675387322929149,0.05513558696455964,0.08771698927089211,0.1316497880959949,0.13141935154244502,0.11906889903736456,0.11812043741887156,0.12657832641849717,0.11668670859940512,0.11067857590409673,0.12253313799755937,0.10348014008550245,0.05076957994084958,0.08488500419208987,0.06469420317442971,0.06414701324329204,0.0998467613371181,0.09176413888677414,0.0896829655481416,0.09787877406261176,0.09972497433594636,0.08580829522092248,0.08405866186109008,0.09242841936565026,0.11279965846760857,0.11511356222959314,0.1362956237754405,0.11481014468671445,0.11485733095183802,0.10145819627175064,0.095789843821958,0.07284699554810288,0.07330888487733525,0.06793437421475651,0.06711397217969718,0.11713850177873908,0.11772966699248356,0.08297064083304291,0.07740591123442372,0.0822516104855382,0.0755117836679013,0.16983210419564812,0.138316041501922,0.11555158855135665,0.11199255844498741,0.11071026728623679,0.031687941084649056,0.09071329147592178,0.09470222136661659,0.10174919446931713,0.0856200405928691,0.033130235905832243,0.15011275030717533,0.1273953622059321,0.11358502973465885,0.11546330375862796,0.12804504973812142,0.09909837522001617,0.09483673483409694,0.06723010386141041,0.04272645782910653,0.10393543234048867,0.10976909263400414,0.11624361192262096,0.10080232537703994,0.08698158979278146,0.08905279366847539,0.1513371116365783,0.06999648369328666,0.0673154343663231,0.04897387437951073,0.13304111727836296
5,'Banjolin',1,0.07107762841841134,0.05504017586833626,0.0,0.040574348520540614,0.06511357795734513,0.06575770799486472,0.05826305601276699,0.031509680761881514,0.034419097947174467,0.020882408443479827,0.06558256434235356,0.023377577717733532,0.021137290235426296,0.021713697360955214,9.541109622337631e-05,0.03280629860602371,0.07660961222765865,0.07650866087757664,0.06404314283761976,0.06308026155053527,0.07155383306919401,0.061646532731068855,0.0557678852392283,0.06762244733269096,0.04856944942063404,0.045016060147807395,0.029844828323753625,0.04385706230965595,0.021258207409748875,0.044806585468781836,0.03685344822190573,0.0347722748832732,0.042968083397743356,0.04468479846761012,0.030897604556054076,0.02914797119622169,0.03751772870078185,0.0577594825992723,0.060073386361256885,0.08125544790710422,0.0597699688183782,0.05981715508350177,0.04645817534754817,0.04074966795362175,0.017806819679766613,0.01826870900899899,0.012894198346420247,0.012073796311360928,0.06222781111387068,0.06281897632761517,0.027930464964706653,0.02249522056955532,0.02734091982066979,0.08231764499580431,0.11479192832731187,0.08327586563358574,0.060511412683020384,0.056953171675573455,0.05577433373022825,0.08659863174951744,0.050746540024223304,0.03966204549828031,0.04670901860098087,0.0307093499280007,0.021997030829473976,0.09507257443883906,0.07235518633759581,0.058544853866322584,0.060423127890291695,0.07300487386978517,0.04405819935167992,0.039796558965760676,0.016809643421124145,0.047720358888041096,0.04889525647215239,0.05472891676566788,0.061203436054284695,0.04589163471217154,0.0319414139244452,0.03414210300360699,0.09629693576824205,0.015085793028418268,0.019534378326655357,0.037882211989540504,0.07800094141002668
9,'Bouzouki',1,0.0305085177181407,0.09555476025481772,0.040574348520540614,0.0,0.02454164100422856,0.025183359474324107,0.052001273661051395,0.07204901077076767,0.038051222309906756,0.03817755463002698,0.033852024735329396,0.06395192623827414,0.03843243642197344,0.018878230830929488,0.04054369204404927,0.0085522690072923,0.0409528621310409,0.03593431235703603,0.04494837461525359,0.036781490186029976,0.031023566163679434,0.03369052899094437,0.028296023604877815,0.02704809881215035,0.007995100900093432,0.045053397113934364,0.047139974510300775,0.0308927931777799,0.032402600817283446,0.004292001082300375,0.016741959594179703,0.02453120088787235,0.03133502785163459,0.01758643828435139,0.015549865615588479,0.011894232010038948,0.029025276445179788,0.07505462878581945,0.07736853254780403,0.09855059409365137,0.07706511500492534,0.07711230127004892,0.06371316658996153,0.016188861135796744,0.03510196586631376,0.03556385519554614,0.0301893445329674,0.029368942497908074,0.027432187822189615,0.02224462780707456,0.0127147203882799,0.01910617577750706,0.013444793447873443,0.06508226294331632,0.07427734394083041,0.04276128124710429,0.027419498303612233,0.016437798190169692,0.028383681234787284,0.08707708586577063,0.03351115797173531,0.004599035018276818,0.01765493249725408,0.01789867594103,0.06257137935001458,0.0545579900523576,0.03184060195111436,0.021192875110963533,0.03876301498837908,0.032490289483303715,0.021936084227633018,0.017572242503593984,0.028939347948803113,0.05282890385899796,0.010469512332415687,0.014214332379186413,0.0380928927961637,0.005317286191630928,0.008742542839439997,0.01742149515582168,0.05578235138176058,0.02695072911431423,0.02933700683110847,0.046580885875307,0.03748635702354522
12,'Clarinet',1,0.00596687671391214,0.12009640125904629,0.06511357795734513,0.02454164100422856,0.0,0.014879564786122304,0.07654050309785591,0.09658824020757217,0.06259045174671128,0.04427702935604757,0.03187029837366659,0.08849115567507866,0.0440588791761611,0.043417460267734,0.06508292148085379,0.033093910011520865,0.042932176925279654,0.032565395654367356,0.04692768940949236,0.03876080498026874,0.0064819251594508695,0.035669843785183133,0.030277749966540618,0.0025088693753458273,0.016626795133682516,0.06959503811816292,0.049119289304539536,0.055432022614584416,0.05694424182151201,0.02037884840426492,0.029073507606821942,0.0322355510011435,0.03331675421329739,0.020507748146738464,0.04009150661981704,0.03643587301426751,0.031007002806842595,0.07703394358005822,0.07934784734204281,0.10052990888789015,0.07904442979916411,0.07909161606428768,0.0656924813842003,0.024463747071555974,0.04738262437232618,0.046944318835554895,0.05230302327297909,0.053136816442133965,0.02545287302795085,0.008241479085703588,0.03725394982508442,0.04364781678173562,0.037986434452102,0.0631005365816535,0.049735702936601844,0.04330941327316553,0.029398813097851,0.008160406281771672,0.030365407596450084,0.11161631530257514,0.031529431610072496,0.025536579172963005,0.019634247291492844,0.03545878388369164,0.0871106087868191,0.03001634904812904,0.007298960946885802,0.023172189905202294,0.040742329782617846,0.03287362812342593,0.023915399021871783,0.02536752505619393,0.05348098895303167,0.07736994342993975,0.016275508795158832,0.013490297829632873,0.04007220759040246,0.019941031387784112,0.033281772276244515,0.03202612108733514,0.0399877830766495,0.051492370118542796,0.053878647835337024,0.07112252687953556,0.03173097783526072
12,'Clarinet',2,0.019822923191655212,0.12066839865973313,0.06575770799486472,0.025183359474324107,0.014879564786122304,0.0,0.0771846331353755,0.09723237024509178,0.06323458178423086,0.04492115939356716,0.046749863159788886,0.08913528571259825,0.04470300921368068,0.04406159030525359,0.06572705151837338,0.03336541271120954,0.028425239476988263,0.017839751967756685,0.03242075196120096,0.024253867531977336,0.014022046851874642,0.021162906336891735,0.015421779929576268,0.014980853349733946,0.01718825857423067,0.06989881871888355,0.03600613050085583,0.05607615265210401,0.057215744521200686,0.02102297844178451,0.029345010306510627,0.032507053700832185,0.02353537166062597,0.02115187818425805,0.040363009319505726,0.03670737571395619,0.028723722828997603,0.06252700613176682,0.06484090989375141,0.08602297143959875,0.06453749235087271,0.06458467861599629,0.0511855439359089,0.029086699560256248,0.04802675440984577,0.047588448873074486,0.05294715331049868,0.05378094647965354,0.039959810476242245,0.0071429723292488895,0.037898079862604,0.0439193194814243,0.03841678817419492,0.07798010136777582,0.04946420023691317,0.028802475824874132,0.0148918756495596,0.015876882451170134,0.01581158040246609,0.11226044534009472,0.0464089963961948,0.02618070921048259,0.019117129778097472,0.035730286583380316,0.0877547388243387,0.03999454416356896,0.017129751521222817,0.008665252456910898,0.026235392334326448,0.018366690675134537,0.0217218059422473,0.026011655093713518,0.053752491652720356,0.07801226333332208,0.016919638832678417,0.011144037789343376,0.025565270142111064,0.020212534087472794,0.0339259023137641,0.03229762378702381,0.0548673478627718,0.05176387281823147,0.054150150535025705,0.07175741453739497,0.046610542621383026
15,'DallapeAccordion',1,0.08250455355892213,0.043566443944566415,0.05826305601276699,0.052001273661051395,0.07654050309785591,0.0771846331353755,0.0,0.026753375250885475,0.02384395806559252,0.07914546445624682,0.07701394250600313,0.034986599291159055,0.07940034624819328,0.042841707735290835,0.05835846710899036,0.04423322374653449,0.08808334415142847,0.08793558601808742,0.08591628444147342,0.07774940001224982,0.08301188247393074,0.0746584388171642,0.06927689078189775,0.07904937247320175,0.05999637456114484,0.013597891085134624,0.08810788433652061,0.0211277592298633,0.038082380828984685,0.056280317392551675,0.05772282677119964,0.06551206806489228,0.07231589502865453,0.058554348110571225,0.051181930933002384,0.047715404132919054,0.07000614362219972,0.1160225386120393,0.1183364423740239,0.1395185039198712,0.11803302483114515,0.11808021109626876,0.10468107641618137,0.05222339987739159,0.07606987569253361,0.07653176502176598,0.07115725435918724,0.07033685232412791,0.07365473625438146,0.07424590146812596,0.043560346825023,0.04382140513122632,0.03956762589510688,0.03194533972333489,0.1262656602510817,0.09474959755735557,0.07198514460679023,0.068426114500421,0.06936454841180721,0.03507581220471923,0.04714684753135534,0.051135777422050145,0.05862284232347392,0.05887954311804993,0.03635311605026297,0.10654630636260891,0.08382891826136567,0.07001858579009242,0.07973092481459892,0.08447860579355503,0.06290399405385286,0.05854015232981382,0.04215078256724745,0.010555053042239223,0.060368988395922245,0.06620264868943772,0.07906080262238353,0.057318559852682326,0.04341514584821504,0.05840236233284162,0.10777066769201189,0.047666727468925196,0.039909037048934275,0.02040063218626271,0.08947467333379651
17,'Domra',1,0.1025522906686384,0.023530495106454746,0.031509680761881514,0.07204901077076767,0.09658824020757217,0.09723237024509178,0.026753375250885475,0.0,0.03399778846086091,0.05239208920536134,0.0970572265925806,0.008233224040273586,0.05264697099730781,0.05322337812283673,0.03160509185810489,0.06428096085625076,0.10811929298954015,0.10798332312780369,0.0955384039309098,0.0945899423124168,0.10304783131204241,0.09315621349295038,0.08724254748945537,0.09909710958291802,0.0800441116708611,0.02733355152620823,0.06135450908563514,0.04116370806797497,0.040710984828650695,0.07631626623066336,0.06832811047213279,0.06624693713350026,0.07444274564797042,0.07619447922949163,0.062372266806281135,0.06062263344644875,0.06899239095100891,0.08926916336115381,0.0915830671231384,0.11276512866898575,0.09127964958025969,0.09132683584538327,0.07793283759777522,0.07225934871550327,0.04931650044164813,0.049778389770880505,0.044403879108301764,0.04358347707324244,0.09370247336409775,0.09429363857784223,0.05944014572658816,0.05396988281978238,0.05881558207089685,0.05198128856144656,0.1463016090891934,0.11478554639546727,0.0920210934449019,0.08846206333853268,0.08724899598045531,0.0551239694992904,0.06718279636946702,0.07117172626016183,0.07821869936286238,0.062184012178227756,0.009599740799377497,0.12658225520072056,0.10386486709947733,0.0900545346282041,0.09193280865217322,0.10451455463166669,0.07556788011356143,0.07130623972764219,0.043794075446769075,0.019220106911769706,0.08040493723403391,0.08623859752754938,0.09271311681616622,0.07736629696239859,0.06345109468632672,0.06561676525383404,0.12780661653012357,0.04656045527864533,0.04387940595168175,0.0254749557076968,0.1095106221719082
19,'DungDkarTrumpet',1,0.06855450220777748,0.057524694258147914,0.034419097947174467,0.038051222309906756,0.06259045174671128,0.06323458178423086,0.02384395806559252,0.03399778846086091,0.0,0.055301506390654294,0.0630594381317197,0.02590070392836739,0.05555638818260076,0.019229178971143564,0.03451450904339785,0.030283172395389846,0.074125093837847,0.07398553466694278,0.062072326375880914,0.06059574316072363,0.06905363216034924,0.05916201434125721,0.05324475902859444,0.0650993211220571,0.046046323210000184,0.010596962200632921,0.0642639262709281,0.00944904414663643,0.014246621725829016,0.04232206707897018,0.03433032201127187,0.04167630896173661,0.04848013592549886,0.04220028007779847,0.02837447834542022,0.026624844985587832,0.04617038451904406,0.09217858054644677,0.09449248430843137,0.11567454585427871,0.09418906676555266,0.09423625303067625,0.08083866547390044,0.0382651495638101,0.052225917626941086,0.05268780695617346,0.047313296293594716,0.046492894258535394,0.05970468490323683,0.06029585011698132,0.025445946574895,0.019985646028070656,0.024817793610035933,0.04793715486945205,0.11230740993750021,0.0807913472437741,0.05802689429320874,0.0544678641868395,0.05325120751959439,0.0522181416231652,0.033188597217773855,0.037177527108468666,0.044224500211169214,0.03504378401489427,0.02452015704010783,0.09258805604902741,0.06987066794778417,0.05606033547651093,0.05793860950048005,0.07052035547997353,0.04157368096186826,0.03731204057594902,0.018315023464091782,0.014798236429041385,0.046410738082340745,0.052244398375856226,0.05871891766447304,0.04336850850153768,0.029456895534633553,0.034566603229685945,0.0938124173784304,0.02383096836576953,0.0160732779457786,0.008550819878637188,0.07551642302021504
23,'ElectricPiano',1,0.05024107981711378,0.07592258431181609,0.020882408443479827,0.03817755463002698,0.04427702935604757,0.04492115939356716,0.07914546445624682,0.05239208920536134,0.055301506390654294,0.0,0.07201216899141749,0.04421412631903109,0.0002548817919464684,0.03630375672095598,0.02080589212480622,0.03589516536514492,0.055727203784178815,0.05567211227627908,0.0432065942363222,0.04219785310705545,0.050717284467896445,0.04076412428758903,0.034931336637930736,0.046785898731393404,0.03163548061850873,0.06589846859128722,0.008962419880273798,0.06473947075313578,0.0421406158532287,0.04234306839603624,0.022246561339805775,0.015538190101802166,0.022131534796445796,0.02380239002413029,0.033849612525146476,0.03191087235984788,0.016681180099484286,0.03687707415579247,0.039190977917777065,0.0603730394636244,0.03888756037489837,0.038934746640021944,0.025621626746250608,0.0542607917895823,0.0031055950162786144,0.002667289479507331,0.00802599391693152,0.00885978708608639,0.06560974245221658,0.041982427726317606,0.03561009462148749,0.03636406450234236,0.03980216065994265,0.10317490956286453,0.093933596688058,0.062393457190105917,0.039629004239540556,0.041097623621600764,0.03493778512893069,0.10743593197191244,0.07158308862552086,0.03361770648346608,0.02582661015750104,0.021331022975920145,0.04283357943077153,0.07419016599535923,0.051472777894115994,0.03766244542284276,0.03957396704855338,0.05212246542630535,0.023199353451319852,0.020609958348860202,0.03769205186460397,0.06860276733152092,0.02801284802867257,0.033846508322188044,0.040358218288972014,0.03513406873911205,0.036115886025295835,0.02180829404037825,0.08004144009209786,0.0329538679603136,0.04041678677013518,0.05876462043302033,0.07178463485070909
