algorithm,objectives,recall
NSGA3,stft_kl_divergence_pseudo_cqt_js_divergence_stft_cosh_stft_js_divergence_iirt_js_divergence,0.74
NSGA3,stft_kl_divergence_stft_js_divergence_hpc,0.72
EA,stft_kl_divergence,0.7
EA,stft_js_divergence,0.7
NSGA3,stft_kl_divergence_pseudo_cqt_js_divergence,0.7
NSGA3,stft_kl_divergence_stft_js_divergence,0.65
EA,stft_cosh,0.65
EA,iirt_cosh,0.63
EA,cqt_kl_divergence,0.6
EA,melspectrogram_cosh,0.59
EA,hybrid_cqt_cosh,0.58
EA,cqt_cosh,0.58
EA,stft_beta_divergence,0.58
EA,cqt_beta_divergence,0.56
EA,stft_manhattan,0.55
EA,hybrid_cqt_js_divergence,0.55
EA,pseudo_cqt_kl_divergence,0.54
EA,cqt_js_divergence,0.53
EA,iirt_kl_divergence,0.53
EA,vqt_cosh,0.52
EA,cqt_itakura_saito,0.52
EA,hybrid_cqt_itakura_saito,0.51
EA,pseudo_cqt_js_divergence,0.5
EA,melspectrogram_itakura_saito,0.5
EA,pseudo_cqt_itakura_saito,0.5
EA,pseudo_cqt_cosh,0.49
EA,stft_itakura_saito,0.49
EA,hybrid_cqt_kl_divergence,0.49
EA,melspectrogram_beta_divergence,0.49
EA,iirt_itakura_saito,0.47
EA,stft_cosine,0.47
EA,iirt_beta_divergence,0.46
EA,pseudo_cqt_beta_divergence,0.46
EA,vqt_itakura_saito,0.45
EA,hybrid_cqt_beta_divergence,0.45
EA,cqt_manhattan,0.45
EA,stft_euclidean,0.44
EA,pseudo_cqt_manhattan,0.44
EA,vqt_kl_divergence,0.44
EA,vqt_js_divergence,0.44
EA,melspectrogram_js_divergence,0.43
EA,vqt_beta_divergence,0.42
EA,hybrid_cqt_manhattan,0.42
EA,iirt_js_divergence,0.39
EA,melspectrogram_kl_divergence,0.38
EA,vqt_manhattan,0.38
EA,melspectrogram_manhattan,0.37
EA,cqt_euclidean,0.35
EA,cqt_cosine,0.33
EA,iirt_manhattan,0.3
EA,vqt_euclidean,0.28
EA,vqt_cosine,0.28
EA,hybrid_cqt_euclidean,0.27
EA,hybrid_cqt_cosine,0.27
EA,melspectrogram_euclidean,0.26
EA,pseudo_cqt_euclidean,0.26
EA,pseudo_cqt_cosine,0.25
EA,iirt_euclidean,0.24
EA,melspectrogram_cosine,0.18
EA,stft_chebyshev,0.18
EA,hybrid_cqt_chebyshev,0.17
EA,iirt_cosine,0.15
EA,melspectrogram_chebyshev,0.13
EA,cqt_chebyshev,0.13
EA,pseudo_cqt_chebyshev,0.11
EA,vqt_chebyshev,0.1
EA,iirt_chebyshev,0.09
EA,mfcc_cosine,0.07
EA,mfcc_kl_divergence,0.07
EA,mfcc_itakura_saito,0.07
EA,mfcc_js_divergence,0.07
EA,mfcc_beta_divergence,0.07
EA,mfcc_cosh,0.06
EA,spectral_itakura_saito,0.06
EA,tonnetz_cosh,0.03
EA,spectral_beta_divergence,0.03
EA,pseudo_cqt_wasserstein,0.03
EA,vqt_wasserstein,0.03
EA,cqt_wasserstein,0.02
EA,mfcc_manhattan,0.02
EA,hybrid_cqt_wasserstein,0.02
EA,melspectrogram_wasserstein,0.02
EA,tonnetz_kl_divergence,0.01
EA,tonnetz_beta_divergence,0.01
EA,tonnetz_js_divergence,0.01
EA,tonnetz_itakura_saito,0.01
EA,tonnetz_euclidean,0.01
EA,spectral_euclidean,0.01
EA,spectral_js_divergence,0.01
EA,stft_wasserstein,0.01
EA,mfcc_chebyshev,0.01
EA,tonnetz_wasserstein,0.01
EA,tonnetz_cosine,0.01
EA,iirt_wasserstein,0.01
EA,spectral_cosh,0.01
EA,mfcc_euclidean,0.0
EA,spectral_chebyshev,0.0
EA,spectral_wasserstein,0.0
EA,spectral_kl_divergence,0.0
EA,mfcc_wasserstein,0.0
EA,spectral_cosine,0.0
EA,tonnetz_chebyshev,0.0
EA,tonnetz_manhattan,0.0
EA,spectral_manhattan,0.0
